gene_name,log 2 FC,orginial p,adjusted p
SPOCK1,-6.752090993736117,9.153110385476744e-123,0.0
APOD,-11.83097034362769,5.283142196522682e-114,0.0
SOX10,-6.272388185380367,1.4415606862958212e-108,0.0
NKAIN4,-8.09111527715821,2.936843368586136e-106,0.0
PLLP,-8.027940649494111,1.159359981661013e-105,0.0
PTGDS,-5.830371417296925,1.7340144768373852e-102,0.0
EDIL3,-7.1946322581605315,3.83628895157196e-95,0.0
NSG2,-5.103061744264396,1.595945271361151e-94,0.0
SMOC1,-6.306512736635332,6.944195605526584e-94,0.0
OMG,-5.244327321658651,2.159877579597346e-92,0.0
TMSB4X,3.514848582474453,1.1797318728468422e-90,0.0
TNR,-6.555846233233527,1.7478384779441706e-90,0.0
MEGF11,-5.765542860035878,1.723262463850611e-89,0.0
CDKN2A,5.694684636043699,5.218486350926345e-89,0.0
GPR17,-8.450394246783864,7.918199583921688e-89,0.0
MTSS1,-4.86715853324702,4.634467895552589e-88,0.0
CD44,5.258205556553076,3.206753689890414e-87,0.0
KCNQ2,-6.852578702360293,5.824520497054724e-87,0.0
TUBB4A,-6.422973754239697,8.303036275185668e-87,0.0
CA10,-6.919483021127421,1.4080042820198735e-86,0.0
CHCHD2,3.281220009753955,6.0473417309995674e-86,0.0
VIM,3.452722608258752,4.818140912418346e-85,0.0
ANXA1,6.771488958768842,2.196377036944841e-83,0.0
SEC61G,3.9427492015075143,1.398420405724391e-82,0.0
LHFPL3,-5.641262280716924,2.658633352571174e-82,0.0
LINC00632,-6.860278951448468,3.2146705090832176e-82,0.0
STMN4,-4.560929794949399,6.276000334800341e-81,0.0
BAMBI,-6.842801686457279,3.7204715071711545e-80,0.0
PCDH15,-4.470112291029655,1.4749521559296322e-78,0.0
PLPPR1,-5.008617664909693,2.184698400489509e-76,0.0
IGSF21,-4.9965077660004225,4.49229189372718e-76,0.0
IDI1,-3.7800921164504744,9.842041837724446e-76,0.0
OPCML,-4.468302856931916,1.2316631895487286e-75,0.0
DNER,-3.6223300436993333,2.0077557144624856e-75,0.0
PSPH,3.3131670574693657,1.0930018081979095e-74,0.0
KIF1A,-3.844403334026584,1.4846501812677914e-74,0.0
NEU4,-6.066886762133501,4.183644385370587e-74,0.0
EMP3,4.644458527778908,6.081604740680074e-74,0.0
LY6H,-5.884622693516352,1.177577922607755e-72,0.0
HIP1R,-3.734546399221987,1.2797919483442414e-72,0.0
IGFBP2,7.493051930270852,1.6627318944929187e-72,0.0
CACNG4,-4.8248926209479785,1.7208827180823738e-72,0.0
CSRP2,7.405813790140571,4.224007670803524e-72,0.0
BEX1,-4.103265076232582,7.750818133260394e-72,0.0
ID3,5.4478266556166925,3.071395502037963e-71,0.0
BASP1,-6.146781251129484,8.439136614569605e-71,0.0
FAIM2,-3.2915317620317195,2.4787763964380967e-70,0.0
LGALS1,3.1508395063330394,1.1483680706805137e-69,0.0
CSPG4,-4.103727545344481,2.6282751570048463e-69,0.0
TSC22D1,-2.6258818044089183,1.1321426863924243e-68,0.0
SEZ6L,-4.327758004155924,1.5175908893030045e-68,0.0
GFRA1,-5.4236913859294456,2.4544028837908476e-68,0.0
PLP2,5.1490811689059495,8.692507259492665e-68,0.0
HTRA1,-2.6482265124020183,1.1433205493701035e-67,0.0
NLGN3,-3.1686027337844305,2.7946029302885428e-67,0.0
SHISA7,-4.29423508784173,5.2249980355641324e-67,0.0
DNM3,-4.020312852222462,6.230779819098872e-67,0.0
GNG3,-5.952800796232739,2.093785856627001e-66,0.0
RPLP1,2.4612786346622375,3.5756037365406113e-66,0.0
FLNA,3.927149265454853,6.326764955563545e-66,0.0
MT2A,4.219304276750217,6.921972871665276e-66,0.0
CLIC1,4.77355650406834,8.7273838135309e-66,0.0
SCD5,-2.5318680825335793,1.129470495425975e-65,0.0
MYT1,-4.239444191905615,1.1477049442486723e-65,0.0
B3GNT7,-3.1518596039234916,3.2173068851833175e-65,0.0
PDGFRA,-4.589384447549669,5.974900625338488e-65,0.0
TNC,4.172004155776015,8.244109173351815e-65,0.0
GNG5,3.1077991382854093,9.812742703450407e-65,0.0
IGFBP7,3.688650358282913,1.5651178100767823e-64,0.0
CEROX1,-3.8061723594158856,4.0032377165897296e-64,0.0
C1QL2,-6.165829097030153,6.624475913093079e-64,0.0
SLC6A1,-3.4614906889044033,8.35814508172585e-64,0.0
SULF2,-4.536967281219611,1.0465162201316785e-63,0.0
DLL3,-5.937026238135847,1.35026427114175e-63,0.0
LUZP2,-4.953187871454473,2.243132097843084e-63,0.0
VOPP1,3.594481344790675,1.3906203109068503e-62,0.0
MEG3,-5.3653850568935475,1.5051851723249663e-62,0.0
CEBPD,3.289182148482178,3.186862208599283e-62,0.0
NAMPT,4.207293252270045,4.067041997448922e-62,0.0
DOCK10,-3.6197572219708234,6.214412723256112e-62,0.0
ADGRB1,-3.6927583290357138,8.939332746114728e-62,0.0
NEAT1,2.6735822895117427,9.346315227032548e-62,0.0
SPOCK3,-5.947702963942338,1.5906558354607135e-61,0.0
COL9A2,-4.395638109176289,2.4831468995013898e-61,0.0
CENPV,-6.531330492508392,3.803976568661273e-61,0.0
AFAP1L2,-5.631325021348319,7.039449398209919e-61,0.0
OLIG1,-3.5785918363906744,9.013523404930038e-61,0.0
CNP,-3.4792535024131794,3.559275338690027e-60,0.0
CCND1,-5.18839239158987,3.587504472582328e-60,0.0
FGF14,-5.857404760470934,4.191780884681924e-60,0.0
GRIA2,-3.1063682452328116,1.10087081574664e-59,0.0
XYLT1,-3.739059044286189,2.5018959816556344e-59,0.0
S100A6,2.191856485247557,3.1209014000940697e-59,0.0
LIMS2,-3.458958999149572,1.1534824817567852e-58,0.0
RGCC,-3.024966980220599,1.3965198303642568e-58,0.0
LINGO1,-4.202024041689087,4.240625589640644e-58,0.0
CNTN1,-3.2125454754783127,7.629352700301597e-58,0.0
CSPG5,-3.2973735211818695,1.0166549841367788e-57,0.0
NDN,-6.67755093314317,1.416744767893503e-57,0.0
EMP1,3.242355842266173,3.0844501375421474e-57,0.0
COL9A3,-4.203394265522426,5.547197162654951e-57,0.0
CCT6A,2.8655722519749856,2.9678164160933674e-56,0.0
RTN1,-4.316769955824208,3.5601409091354703e-56,0.0
SOD2,3.785896059141761,5.452947764794018e-56,0.0
DSCAM,-3.4601128659786853,9.674490779468346e-56,0.0
HSPB1,2.89014983118606,1.744354922251835e-55,0.0
CSMD3,-3.1977572925523914,4.394405648538058e-55,0.0
PPIA,1.5999114647884152,5.423589635300576e-55,0.0
NXPH1,-5.046025665114765,6.4083008914857126e-55,0.0
