family_id,ic_fc,ic_fc_p,holm_corrected_ic_fc_p,bh_corrected_ic_fc_p,family_name,IC_tumour,IC_healthy
PTHR11738,1.185662202400644,0.7342126578734213,1.0,0.900697914895851,MHC CLASS I NK CELL RECEPTOR,2.2917874447669804,1.932917689479122
PTHR21245,1.0935996405733217,0.2756872431275687,1.0,0.5940443609262537,HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN,1.28016387657388,1.1705964679201493
PTHR11412,1.0320650517469048,0.7889921100788992,1.0,0.9289937175816212,MACROGLOBULIN / COMPLEMENT,1.4204372224756159,1.3763059024926114
PTHR19229,0.8721274576254471,0.2541374586254137,1.0,0.5701708598959856,ATP-BINDING CASSETTE TRANSPORTER SUBFAMILY A  ABCA,0.9359241095026043,1.073150605819538
PTHR24221,0.901697434008112,0.3434065659343406,1.0,0.668873982901962,ATP-BINDING CASSETTE SUB-FAMILY B,1.055574531936816,1.1706526958213794
PTHR24223,1.0270585894454476,0.8139118608813912,1.0,0.933099712481136,ATP-BINDING CASSETTE SUB-FAMILY C,1.0603112436272206,1.0323765893430998
PTHR11384,1.0325189165358677,0.7376526234737653,1.0,0.901063969079498,"ATP-BINDING CASSETTE, SUB-FAMILY D MEMBER",1.0584762724135957,1.0251398356601653
PTHR10794,1.1327761163532315,0.1584484155158448,1.0,0.4149334760832993,ABHYDROLASE DOMAIN-CONTAINING PROTEIN,1.0997368129596063,0.9708333333333335
PTHR12277,1.1971684357091097,0.0609493905060949,1.0,0.2338059792478998,ALPHA/BETA HYDROLASE DOMAIN-CONTAINING PROTEIN,1.3425063764568959,1.12140141388015
PTHR24418,0.9630000529972323,0.7187628123718763,1.0,0.8990276071680178,TYROSINE-PROTEIN KINASE,1.4022998823038446,1.4561784061582725
PTHR24213,0.9590339339021152,0.7067429325706743,1.0,0.8911106541108502,ACTIN-BINDING LIM PROTEIN,1.0848441935652724,1.1311843671175033
PTHR18919,1.5671443047550755,9.99990000099999e-06,0.0078299217007829,0.0004893701062989,ACETYL-COA C-ACYLTRANSFERASE,1.415652282980319,0.9033324363843876
PTHR48083,1.008259566844353,0.961880381196188,1.0,0.9883888956386028,"MEDIUM-CHAIN SPECIFIC ACYL-COA DEHYDROGENASE, MITOCHONDRIAL-RELATED",0.9814916556747654,0.9734513690225951
PTHR43884,1.127520854532144,0.1877981220187798,1.0,0.4600568369316307,ACYL-COA DEHYDROGENASE,1.2092641366588202,1.0724982440884285
PTHR22804,1.39129951181638,1.999980000199998e-05,0.0153398466015339,0.0007829921700782,AGGRECAN/VERSICAN PROTEOGLYCAN,1.469894511107707,1.0564903520944373
PTHR23310,1.0169209259854817,0.8716412835871641,1.0,0.9557629911166068,"ACYL-COA-BINDING PROTEIN, ACBP",1.1449157889338195,1.1258651087588791
PTHR11559,1.0974650021517125,0.3255267447325526,1.0,0.6569263946535793,CARBOXYLESTERASE,1.0855660264729259,0.9891577629760786
PTHR10489,0.8051892780781917,0.0630793692063079,1.0,0.2351959337549481,CELL ADHESION MOLECULE,0.9996382892057016,1.2414947844208892
PTHR10824,0.8845233861893883,0.0849591504084959,1.0,0.2783389739324364,ACYL-COENZYME A THIOESTERASE-RELATED,1.4309924681286839,1.617811909183688
PTHR10909,1.022454664007345,0.8896911030889691,1.0,0.9621935548600316,ELECTRON TRANSPORT OXIDOREDUCTASE,1.0642334985228605,1.0408613075828521
