family_id,ic_fc,ic_fc_p,holm_corrected_ic_fc_p,bh_corrected_ic_fc_p,family_name
PTHR11738,0.8629492595311352,0.2816871831281687,1.0,0.8736032864390457,MHC CLASS I NK CELL RECEPTOR
PTHR21245,1.2604564344334461,0.04068959310406896,1.0,0.48892098380603494,HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN
PTHR11412,1.2589114389951186,0.12359876401235988,1.0,0.731503075594244,MACROGLOBULIN / COMPLEMENT
PTHR19229,1.154627656375705,0.3251067489325107,1.0,0.8841134073866361,ATP-BINDING CASSETTE TRANSPORTER SUBFAMILY A  ABCA
PTHR24221,1.0426586778224416,0.8356116438835611,1.0,0.9617920437109828,ATP-BINDING CASSETTE SUB-FAMILY B
PTHR24223,0.8724043350423115,0.2833771662283377,1.0,0.8736032864390457,ATP-BINDING CASSETTE SUB-FAMILY C
PTHR11384,0.7873291970919707,0.06675933240667593,1.0,0.5585106786294775,"ATP-BINDING CASSETTE, SUB-FAMILY D MEMBER"
PTHR10794,0.9284121923751668,0.46660533394666054,1.0,0.910355629268135,ABHYDROLASE DOMAIN-CONTAINING PROTEIN
PTHR12277,1.0538134865549509,0.7825621743782563,1.0,0.9418117106587282,ALPHA/BETA HYDROLASE DOMAIN-CONTAINING PROTEIN
PTHR24418,0.950920478758145,0.6657733422665774,1.0,0.9398091299087009,TYROSINE-PROTEIN KINASE
PTHR24213,0.9396974622775355,0.5015749842501575,1.0,0.9236590684940609,ACTIN-BINDING LIM PROTEIN
PTHR18919,0.8936204410798134,0.3632863671363286,1.0,0.8841134073866361,ACETYL-COA C-ACYLTRANSFERASE
PTHR48083,1.1049542589014072,0.44376556234437653,1.0,0.8982099751195001,"MEDIUM-CHAIN SPECIFIC ACYL-COA DEHYDROGENASE, MITOCHONDRIAL-RELATED"
PTHR43884,1.1651288260925425,0.24730752692473076,1.0,0.8373323658067766,ACYL-COA DEHYDROGENASE
PTHR22804,0.9683635924530297,0.7362926370736292,1.0,0.9398091299087009,AGGRECAN/VERSICAN PROTEOGLYCAN
PTHR23310,0.9496487887180333,0.6598834011659883,1.0,0.9398091299087009,"ACYL-COA-BINDING PROTEIN, ACBP"
PTHR11559,0.9742873877942753,0.7579124208757912,1.0,0.9398091299087009,CARBOXYLESTERASE
PTHR10489,1.089147676308716,0.5002049979500205,1.0,0.9236590684940609,CELL ADHESION MOLECULE
PTHR10824,0.7700984885001295,0.04660953390466095,1.0,0.5190512959735267,ACYL-COENZYME A THIOESTERASE-RELATED
PTHR10909,0.7747547226644453,0.16294837051629485,1.0,0.7638474170813847,ELECTRON TRANSPORT OXIDOREDUCTASE
PTHR11567,0.9122414533880364,0.44231557684423156,1.0,0.8982099751195001,ACID PHOSPHATASE-RELATED
PTHR43272,1.0130180554950026,0.971820281797182,1.0,0.9778720069942158,LONG-CHAIN-FATTY-ACID--COA LIGASE
PTHR11937,0.9174385544937845,0.5331746682533175,1.0,0.933776924857014,ACTIN
PTHR11915,1.078578427050033,0.5992840071599284,1.0,0.933776924857014,SPECTRIN/FILAMIN RELATED CYTOSKELETAL PROTEIN
PTHR23255,1.1268800060177924,0.3939060609393906,1.0,0.8841134073866361,TRANSFORMING GROWTH FACTOR-BETA RECEPTOR TYPE I AND II
PTHR11905,0.8452016943141627,0.3018869811301887,1.0,0.8736032864390457,ADAM  A DISINTEGRIN AND METALLOPROTEASE DOMAIN
PTHR13723,1.061031007483267,0.8238717612823871,1.0,0.9561869312394166,ADAMTS  A DISINTEGRIN AND METALLOPROTEASE WITH THROMBOSPONDIN MOTIFS  PROTEASE
PTHR45627,0.8431877812657171,0.2242177578224218,1.0,0.8279650862027966,ADENYLATE CYCLASE TYPE 1
PTHR45620,0.9355260610054575,0.6151538484615154,1.0,0.9341947453541338,PDF RECEPTOR-LIKE PROTEIN-RELATED
PTHR12011,0.7628458365636552,0.07381926180738192,1.0,0.5820956373769596,ADHESION G-PROTEIN COUPLED RECEPTOR
PTHR15427,1.0013776705813753,0.9529204707952921,1.0,0.9778720069942158,EMILIN  ELASTIN MICROFIBRIL INTERFACE-LOCATED PROTEIN   ELASTIN MICROFIBRIL INTERFACER
PTHR20855,0.9171961729834713,0.5915740842591574,1.0,0.933776924857014,ADIPOR/PROGESTIN RECEPTOR-RELATED
PTHR22957,0.9939536415255198,0.9084709152908471,1.0,0.9778720069942158,TBC1 DOMAIN FAMILY MEMBER GTPASE-ACTIVATING PROTEIN
PTHR24248,0.9377128654118203,0.5542644573554264,1.0,0.933776924857014,ADRENERGIC RECEPTOR-RELATED G-PROTEIN COUPLED RECEPTOR
PTHR11532,1.0420145899843045,0.8683913160868392,1.0,0.9704154571357513,PROTEASE M14 CARBOXYPEPTIDASE
PTHR12801,1.1616317527722044,0.14606853931460687,1.0,0.7522032942935878,RNA EXONUCLEASE REXO1 / RECO3 FAMILY MEMBER-RELATED
PTHR45819,0.8510166243737401,0.3887261127388726,1.0,0.8841134073866361,CENTAURIN-GAMMA-1A
PTHR12756,1.0957781658523171,0.5689543104568955,1.0,0.933776924857014,CYTOSOLIC CARBOXYPEPTIDASE
PTHR11973,0.9515248699980581,0.6488035119648804,1.0,0.9390903605304293,CELL SURFACE GLYCOPROTEIN MUC18-RELATED
PTHR12358,1.1673304386918437,0.18031819681803182,1.0,0.7638474170813847,SPHINGOSINE KINASE
PTHR22891,1.0393869069525152,0.7980820191798083,1.0,0.9478635104102793,EUKARYOTIC TRANSLATION INITIATION FACTOR 2C
PTHR10983,0.874602303436798,0.32848671513284866,1.0,0.8841134073866361,1-ACYLGLYCEROL-3-PHOSPHATE ACYLTRANSFERASE-RELATED
PTHR10574,1.339327009829631,0.023619763802361977,1.0,0.388699156486696,NETRIN/LAMININ-RELATED
PTHR11461,0.8025504376349107,0.09389906100938991,1.0,0.6581628628158164,"SERINE PROTEASE INHIBITOR, SERPIN"
PTHR13857,0.9539861493188879,0.6693433065669343,1.0,0.9398091299087009,MRNA EDITING ENZYME
PTHR23359,1.1794461916949683,0.17275827241727582,1.0,0.7638474170813847,NUCLEOTIDE KINASE
