HGNC ID,gene_symbol,sf_id,family_name,subfamily_name,family_id
HGNC:5,A1BG,PTHR11738:SF159,MHC CLASS I NK CELL RECEPTOR,ALPHA-1B-GLYCOPROTEIN,PTHR11738
HGNC:24086,A1CF,PTHR21245:SF8,HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN,APOBEC1 COMPLEMENTATION FACTOR,PTHR21245
HGNC:7,A2M,PTHR11412:SF150,MACROGLOBULIN / COMPLEMENT,ALPHA-2-MACROGLOBULIN,PTHR11412
HGNC:23336,A2ML1,PTHR11412:SF140,MACROGLOBULIN / COMPLEMENT,ALPHA-2-MACROGLOBULIN-LIKE PROTEIN 1,PTHR11412
HGNC:30005,A3GALT2,PTHR10462:SF33,GLYCOSYLTRANSFERASE-RELATED,"ALPHA-1,3-GALACTOSYLTRANSFERASE 2",PTHR10462
HGNC:18149,A4GALT,PTHR12042:SF17,"LACTOSYLCERAMIDE 4-ALPHA-GALACTOSYLTRANSFERASE  ALPHA- 1,4-GALACTOSYLTRANSFERASE",LACTOSYLCERAMIDE 4-ALPHA-GALACTOSYLTRANSFERASE,PTHR12042
HGNC:17968,A4GNT,PTHR12042:SF16,"LACTOSYLCERAMIDE 4-ALPHA-GALACTOSYLTRANSFERASE  ALPHA- 1,4-GALACTOSYLTRANSFERASE","ALPHA-1,4-N-ACETYLGLUCOSAMINYLTRANSFERASE",PTHR12042
HGNC:13666,AAAS,PTHR14494:SF0,ALADIN/ADRACALIN/AAAS,ALADIN,PTHR14494
HGNC:21298,AACS,PTHR42921:SF1,ACETOACETYL-COA SYNTHETASE,ACETOACETYL-COA SYNTHETASE,PTHR42921
HGNC:17,AADAC,PTHR23024:SF222,ARYLACETAMIDE DEACETYLASE,ARYLACETAMIDE DEACETYLASE,PTHR23024
HGNC:24427,AADACL2,PTHR23024:SF223,ARYLACETAMIDE DEACETYLASE,ARYLACETAMIDE DEACETYLASE-LIKE 2,PTHR23024
HGNC:32037,AADACL3,PTHR23024:SF115,ARYLACETAMIDE DEACETYLASE,ARYLACETAMIDE DEACETYLASE-LIKE 3,PTHR23024
HGNC:32038,AADACL4,PTHR23024:SF352,ARYLACETAMIDE DEACETYLASE,ARYLACETAMIDE DEACETYLASE-LIKE 4,PTHR23024
HGNC:17929,AADAT,PTHR42790:SF3,AMINOTRANSFERASE,"KYNURENINE/ALPHA-AMINOADIPATE AMINOTRANSFERASE, MITOCHONDRIAL",PTHR42790
HGNC:25662,AAGAB,PTHR14659:SF1,ALPHA- AND GAMMA-ADAPTIN-BINDING PROTEIN P34,ALPHA- AND GAMMA-ADAPTIN-BINDING PROTEIN P34,PTHR14659
HGNC:19679,AAK1,PTHR22967:SF96,SERINE/THREONINE PROTEIN KINASE,AP2-ASSOCIATED PROTEIN KINASE 1,PTHR22967
HGNC:30205,AAMDC,PTHR15811:SF5,MTH938 DOMAIN-CONTAINING PROTEIN,MTH938 DOMAIN-CONTAINING PROTEIN,PTHR15811
HGNC:18,AAMP,PTHR19857:SF17,MITOCHONDRIAL DIVISION PROTEIN 1-RELATED,ANGIO-ASSOCIATED MIGRATORY CELL PROTEIN,PTHR19857
HGNC:19,AANAT,PTHR10908:SF0,SEROTONIN N-ACETYLTRANSFERASE,SEROTONIN N-ACETYLTRANSFERASE,PTHR10908
HGNC:15886,AAR2,PTHR12689:SF4,A1 CISTRON SPLICING FACTOR AAR2-RELATED,PROTEIN AAR2 HOMOLOG,PTHR12689
HGNC:33842,AARD,PTHR32289:SF2,PROTEIN FAM167A,ALANINE AND ARGININE-RICH DOMAIN-CONTAINING PROTEIN,PTHR32289
HGNC:20,AARS1,PTHR11777:SF34,ALANYL-TRNA SYNTHETASE,"ALANINE--TRNA LIGASE, CYTOPLASMIC",PTHR11777
HGNC:21022,AARS2,PTHR11777:SF8,ALANYL-TRNA SYNTHETASE,"ALANINE--TRNA LIGASE, MITOCHONDRIAL",PTHR11777
HGNC:28417,AARSD1,PTHR43462:SF1,ALANYL-TRNA EDITING PROTEIN,ALANYL-TRNA EDITING PROTEIN AARSD1,PTHR43462
HGNC:23993,AASDH,PTHR44394:SF1,BETA-ALANINE-ACTIVATING ENZYME,BETA-ALANINE-ACTIVATING ENZYME,PTHR44394
HGNC:14235,AASDHPPT,PTHR12215:SF10,PHOSPHOPANTETHEINE TRANSFERASE,L-AMINOADIPATE-SEMIALDEHYDE DEHYDROGENASE-PHOSPHOPANTETHEINYL TRANSFERASE,PTHR12215
HGNC:17366,AASS,PTHR11133:SF21,SACCHAROPINE DEHYDROGENASE,"ALPHA-AMINOADIPIC SEMIALDEHYDE SYNTHASE, MITOCHONDRIAL",PTHR11133
HGNC:19235,AATF,PTHR15565:SF0,AATF PROTEIN  APOPTOSIS ANTAGONIZING TRANSCRIPTION FACTOR,PROTEIN AATF,PTHR15565
HGNC:21,AATK,PTHR24417:SF0,SERINE/THREONINE-PROTEIN KINASE LMTK1,SERINE/THREONINE-PROTEIN KINASE LMTK1,PTHR24417
HGNC:23,ABAT,PTHR43206:SF1,AMINOTRANSFERASE,"4-AMINOBUTYRATE AMINOTRANSFERASE, MITOCHONDRIAL",PTHR43206
HGNC:29,ABCA1,PTHR19229:SF34,ATP-BINDING CASSETTE TRANSPORTER SUBFAMILY A  ABCA,ATP-BINDING CASSETTE SUB-FAMILY A MEMBER 1,PTHR19229
HGNC:32,ABCA2,PTHR19229:SF225,ATP-BINDING CASSETTE TRANSPORTER SUBFAMILY A  ABCA,ATP-BINDING CASSETTE SUB-FAMILY A MEMBER 2,PTHR19229
HGNC:33,ABCA3,PTHR19229:SF98,ATP-BINDING CASSETTE TRANSPORTER SUBFAMILY A  ABCA,ATP-BINDING CASSETTE SUB-FAMILY A MEMBER 3,PTHR19229
HGNC:34,ABCA4,PTHR19229:SF190,ATP-BINDING CASSETTE TRANSPORTER SUBFAMILY A  ABCA,RETINAL-SPECIFIC ATP-BINDING CASSETTE TRANSPORTER,PTHR19229
HGNC:35,ABCA5,PTHR19229:SF100,ATP-BINDING CASSETTE TRANSPORTER SUBFAMILY A  ABCA,ATP-BINDING CASSETTE SUB-FAMILY A MEMBER 5,PTHR19229
HGNC:36,ABCA6,PTHR19229:SF13,ATP-BINDING CASSETTE TRANSPORTER SUBFAMILY A  ABCA,ATP-BINDING CASSETTE SUB-FAMILY A MEMBER 6,PTHR19229
HGNC:37,ABCA7,PTHR19229:SF49,ATP-BINDING CASSETTE TRANSPORTER SUBFAMILY A  ABCA,ATP-BINDING CASSETTE SUB-FAMILY A MEMBER 7,PTHR19229
HGNC:38,ABCA8,PTHR19229:SF148,ATP-BINDING CASSETTE TRANSPORTER SUBFAMILY A  ABCA,ATP-BINDING CASSETTE SUB-FAMILY A MEMBER 8,PTHR19229
HGNC:39,ABCA9,PTHR19229:SF120,ATP-BINDING CASSETTE TRANSPORTER SUBFAMILY A  ABCA,ATP-BINDING CASSETTE SUB-FAMILY A MEMBER 9,PTHR19229
HGNC:30,ABCA10,PTHR19229:SF163,ATP-BINDING CASSETTE TRANSPORTER SUBFAMILY A  ABCA,ATP-BINDING CASSETTE SUB-FAMILY A MEMBER 10,PTHR19229
HGNC:14637,ABCA12,PTHR19229:SF29,ATP-BINDING CASSETTE TRANSPORTER SUBFAMILY A  ABCA,ATP-BINDING CASSETTE SUB-FAMILY A MEMBER 12,PTHR19229
HGNC:14638,ABCA13,PTHR19229:SF113,ATP-BINDING CASSETTE TRANSPORTER SUBFAMILY A  ABCA,ATP-BINDING CASSETTE SUB-FAMILY A MEMBER 13,PTHR19229
HGNC:40,ABCB1,PTHR24221:SF251,ATP-BINDING CASSETTE SUB-FAMILY B,MULTIDRUG RESISTANCE PROTEIN 1,PTHR24221
HGNC:45,ABCB4,PTHR24221:SF241,ATP-BINDING CASSETTE SUB-FAMILY B,PHOSPHATIDYLCHOLINE TRANSLOCATOR ABCB4,PTHR24221
HGNC:46,ABCB5,PTHR24221:SF217,ATP-BINDING CASSETTE SUB-FAMILY B,ATP-BINDING CASSETTE SUB-FAMILY B MEMBER 5,PTHR24221
HGNC:47,ABCB6,PTHR24221:SF503,ATP-BINDING CASSETTE SUB-FAMILY B,"ATP-BINDING CASSETTE SUB-FAMILY B MEMBER 6, MITOCHONDRIAL",PTHR24221
HGNC:48,ABCB7,PTHR24221:SF402,ATP-BINDING CASSETTE SUB-FAMILY B,"ATP-BINDING CASSETTE SUB-FAMILY B MEMBER 7, MITOCHONDRIAL",PTHR24221
HGNC:49,ABCB8,PTHR24221:SF167,ATP-BINDING CASSETTE SUB-FAMILY B,"ATP-BINDING CASSETTE SUB-FAMILY B MEMBER 8, MITOCHONDRIAL",PTHR24221
HGNC:50,ABCB9,PTHR24221:SF242,ATP-BINDING CASSETTE SUB-FAMILY B,ATP-BINDING CASSETTE SUB-FAMILY B MEMBER 9,PTHR24221
HGNC:42,ABCB11,PTHR24221:SF165,ATP-BINDING CASSETTE SUB-FAMILY B,BILE SALT EXPORT PUMP,PTHR24221
HGNC:51,ABCC1,PTHR24223:SF241,ATP-BINDING CASSETTE SUB-FAMILY C,MULTIDRUG RESISTANCE-ASSOCIATED PROTEIN 1,PTHR24223
HGNC:53,ABCC2,PTHR24223:SF176,ATP-BINDING CASSETTE SUB-FAMILY C,CANALICULAR MULTISPECIFIC ORGANIC ANION TRANSPORTER 1,PTHR24223
HGNC:54,ABCC3,PTHR24223:SF405,ATP-BINDING CASSETTE SUB-FAMILY C,CANALICULAR MULTISPECIFIC ORGANIC ANION TRANSPORTER 2,PTHR24223
HGNC:55,ABCC4,PTHR24223:SF357,ATP-BINDING CASSETTE SUB-FAMILY C,MULTIDRUG RESISTANCE-ASSOCIATED PROTEIN 4,PTHR24223
